ch= 0	 tth= 11
ch= 1	 tth= 6
ch= 2	 tth= 12
ch= 3	 tth= 11
ch= 4	 tth= 6
ch= 5	 tth= 9
ch= 6	 tth= 9
ch= 7	 tth= 9
ch= 8	 tth= 7
ch= 9	 tth= 14
ch= 10	 tth= 6
ch= 11	 tth= 16
ch= 12	 tth= 7
ch= 13	 tth= 11
ch= 14	 tth= 7
ch= 15	 tth= 10
ch= 16	 tth= 10
ch= 17	 tth= 9
ch= 18	 tth= 5
ch= 19	 tth= 8
ch= 20	 tth= 15
ch= 21	 tth= 12
ch= 22	 tth= 10
ch= 23	 tth= 10
ch= 24	 tth= 6
ch= 25	 tth= 8
ch= 26	 tth= 13
ch= 27	 tth= 16
ch= 28	 tth= 11
ch= 29	 tth= 6
ch= 30	 tth= 13
ch= 31	 tth= 11
ch= 32	 tth= 14
ch= 33	 tth= 12
ch= 34	 tth= 23
ch= 35	 tth= 17
ch= 36	 tth= 11
ch= 37	 tth= 3
ch= 38	 tth= 13
ch= 39	 tth= 15
ch= 40	 tth= 13
ch= 41	 tth= 8
ch= 42	 tth= 5
ch= 43	 tth= 9
ch= 44	 tth= 13
ch= 45	 tth= 12
ch= 46	 tth= 13
ch= 47	 tth= 10
ch= 48	 tth= 6
ch= 49	 tth= 8
ch= 50	 tth= 10
ch= 51	 tth= 7
ch= 52	 tth= 15
ch= 53	 tth= 8
ch= 54	 tth= 14
ch= 55	 tth= 15
ch= 56	 tth= 11
ch= 57	 tth= 10
ch= 58	 tth= 11
ch= 59	 tth= 11
ch= 60	 tth= 5
ch= 61	 tth= 8
ch= 62	 tth= 7
ch= 63	 tth= 8
