ch= 0	 tth= 17
ch= 1	 tth= 22
ch= 2	 tth= 12
ch= 3	 tth= 20
ch= 4	 tth= 7
ch= 5	 tth= 7
ch= 6	 tth= 7
ch= 7	 tth= 13
ch= 8	 tth= 7
ch= 9	 tth= 11
ch= 10	 tth= 18
ch= 11	 tth= 12
ch= 12	 tth= 19
ch= 13	 tth= 15
ch= 14	 tth= 8
ch= 15	 tth= 9
ch= 16	 tth= 9
ch= 17	 tth= 12
ch= 18	 tth= 11
ch= 19	 tth= 7
ch= 20	 tth= 17
ch= 21	 tth= 18
ch= 22	 tth= 10
ch= 23	 tth= 20
ch= 24	 tth= 10
ch= 25	 tth= 5
ch= 26	 tth= 14
ch= 27	 tth= 11
ch= 28	 tth= 12
ch= 29	 tth= 7
ch= 30	 tth= 17
ch= 31	 tth= 10
ch= 32	 tth= 10
ch= 33	 tth= 15
ch= 34	 tth= 15
ch= 35	 tth= 8
ch= 36	 tth= 7
ch= 37	 tth= 7
ch= 38	 tth= 15
ch= 39	 tth= 19
ch= 40	 tth= 15
ch= 41	 tth= 20
ch= 42	 tth= 9
ch= 43	 tth= 11
ch= 44	 tth= 14
ch= 45	 tth= 15
ch= 46	 tth= 10
ch= 47	 tth= 19
ch= 48	 tth= 15
ch= 49	 tth= 10
ch= 50	 tth= 15
ch= 51	 tth= 13
ch= 52	 tth= 16
ch= 53	 tth= 11
ch= 54	 tth= 14
ch= 55	 tth= 21
ch= 56	 tth= 15
ch= 57	 tth= 14
ch= 58	 tth= 13
ch= 59	 tth= 15
ch= 60	 tth= 15
ch= 61	 tth= 15
ch= 62	 tth= 17
ch= 63	 tth= 11
