ch= 0	 tth= 15
ch= 1	 tth= 24
ch= 2	 tth= 12
ch= 3	 tth= 19
ch= 4	 tth= 19
ch= 5	 tth= 15
ch= 6	 tth= 10
ch= 7	 tth= 15
ch= 8	 tth= 18
ch= 9	 tth= 18
ch= 10	 tth= 21
ch= 11	 tth= 18
ch= 12	 tth= 2
ch= 13	 tth= 15
ch= 14	 tth= 16
ch= 15	 tth= 15
ch= 16	 tth= 15
ch= 17	 tth= 17
ch= 18	 tth= 15
ch= 19	 tth= 15
ch= 20	 tth= 14
ch= 21	 tth= 15
ch= 22	 tth= 11
ch= 23	 tth= 19
ch= 24	 tth= 16
ch= 25	 tth= 15
ch= 26	 tth= 19
ch= 27	 tth= 15
ch= 28	 tth= 11
ch= 29	 tth= 20
ch= 30	 tth= 14
ch= 31	 tth= 15
ch= 32	 tth= 9
ch= 33	 tth= 15
ch= 34	 tth= 9
ch= 35	 tth= 16
ch= 36	 tth= 19
ch= 37	 tth= 15
ch= 38	 tth= 18
ch= 39	 tth= 22
ch= 40	 tth= 16
ch= 41	 tth= 12
ch= 42	 tth= 27
ch= 43	 tth= 15
ch= 44	 tth= 29
ch= 45	 tth= 15
ch= 46	 tth= 17
ch= 47	 tth= 17
ch= 48	 tth= 27
ch= 49	 tth= 15
ch= 50	 tth= 15
ch= 51	 tth= 15
ch= 52	 tth= 16
ch= 53	 tth= 17
ch= 54	 tth= 8
ch= 55	 tth= 11
ch= 56	 tth= 9
ch= 57	 tth= 17
ch= 58	 tth= 15
ch= 59	 tth= 16
ch= 60	 tth= 10
ch= 61	 tth= 22
ch= 62	 tth= 19
ch= 63	 tth= 13
