ch= 0	 tth= 18
ch= 1	 tth= 17
ch= 2	 tth= 14
ch= 3	 tth= 4
ch= 4	 tth= 13
ch= 5	 tth= 16
ch= 6	 tth= 18
ch= 7	 tth= 19
ch= 8	 tth= 12
ch= 9	 tth= 13
ch= 10	 tth= 22
ch= 11	 tth= 18
ch= 12	 tth= 12
ch= 13	 tth= 17
ch= 14	 tth= 19
ch= 15	 tth= 24
ch= 16	 tth= 19
ch= 17	 tth= 20
ch= 18	 tth= 20
ch= 19	 tth= 16
ch= 20	 tth= 22
ch= 21	 tth= 12
ch= 22	 tth= 17
ch= 23	 tth= 7
ch= 24	 tth= 10
ch= 25	 tth= 17
ch= 26	 tth= 8
ch= 27	 tth= 13
ch= 28	 tth= 19
ch= 29	 tth= 14
ch= 30	 tth= 6
ch= 31	 tth= 21
ch= 32	 tth= 20
ch= 33	 tth= 19
ch= 34	 tth= 18
ch= 35	 tth= 20
ch= 36	 tth= 23
ch= 37	 tth= 16
ch= 38	 tth= 13
ch= 39	 tth= 15
ch= 40	 tth= 16
ch= 41	 tth= 13
ch= 42	 tth= 18
ch= 43	 tth= 15
ch= 44	 tth= 11
ch= 45	 tth= 18
ch= 46	 tth= 19
ch= 47	 tth= 20
ch= 48	 tth= 13
ch= 49	 tth= 17
ch= 50	 tth= 7
ch= 51	 tth= 17
ch= 52	 tth= 12
ch= 53	 tth= 9
ch= 54	 tth= 16
ch= 55	 tth= 15
ch= 56	 tth= 19
ch= 57	 tth= 10
ch= 58	 tth= 8
ch= 59	 tth= 18
ch= 60	 tth= 9
ch= 61	 tth= 7
ch= 62	 tth= 18
ch= 63	 tth= 15
