ch= 0	 tth= 7
ch= 1	 tth= 6
ch= 2	 tth= 7
ch= 3	 tth= 10
ch= 4	 tth= 5
ch= 5	 tth= 6
ch= 6	 tth= 19
ch= 7	 tth= 8
ch= 8	 tth= 6
ch= 9	 tth= 11
ch= 10	 tth= 12
ch= 11	 tth= 9
ch= 12	 tth= 6
ch= 13	 tth= 8
ch= 14	 tth= 7
ch= 15	 tth= 26
ch= 16	 tth= 6
ch= 17	 tth= 5
ch= 18	 tth= 14
ch= 19	 tth= 12
ch= 20	 tth= 20
ch= 21	 tth= 11
ch= 22	 tth= 8
ch= 23	 tth= 7
ch= 24	 tth= 8
ch= 25	 tth= 10
ch= 26	 tth= 11
ch= 27	 tth= 4
ch= 28	 tth= 6
ch= 29	 tth= 9
ch= 30	 tth= 12
ch= 31	 tth= 6
ch= 32	 tth= 5
ch= 33	 tth= 15
ch= 34	 tth= 11
ch= 35	 tth= 6
ch= 36	 tth= 3
ch= 37	 tth= 6
ch= 38	 tth= 13
ch= 39	 tth= 6
ch= 40	 tth= 13
ch= 41	 tth= 9
ch= 42	 tth= 6
ch= 43	 tth= 7
ch= 44	 tth= 7
ch= 45	 tth= 6
ch= 46	 tth= 10
ch= 47	 tth= 10
ch= 48	 tth= 11
ch= 49	 tth= 14
ch= 50	 tth= 6
ch= 51	 tth= 11
ch= 52	 tth= 18
ch= 53	 tth= 6
ch= 54	 tth= 9
ch= 55	 tth= 9
ch= 56	 tth= 9
ch= 57	 tth= 5
ch= 58	 tth= 6
ch= 59	 tth= 8
ch= 60	 tth= 4
ch= 61	 tth= 7
ch= 62	 tth= 7
ch= 63	 tth= 9
