ch= 0	tth= 13
ch= 1	tth= 28
ch= 2	tth= 15
ch= 3	tth= 18
ch= 4	tth= 11
ch= 5	tth= 19
ch= 6	tth= 9
ch= 7	tth= 27
ch= 8	tth= 22
ch= 9	tth= 22
ch= 10	tth= 12
ch= 11	tth= 6
ch= 12	tth= 12
ch= 13	tth= 11
ch= 14	tth= 8
ch= 15	tth= 16
ch= 16	tth= 19
ch= 17	tth= 10
ch= 18	tth= 11
ch= 19	tth= 21
ch= 20	tth= 1
ch= 21	tth= 24
ch= 22	tth= 18
ch= 23	tth= 18
ch= 24	tth= 11
ch= 25	tth= 19
ch= 26	tth= 19
ch= 27	tth= 11
ch= 28	tth= 15
ch= 29	tth= 27
ch= 30	tth= 23
ch= 31	tth= 9
ch= 32	tth= 12
ch= 33	tth= 10
ch= 34	tth= 1
ch= 35	tth= 16
ch= 36	tth= 18
ch= 37	tth= 8
ch= 38	tth= 9
ch= 39	tth= 14
ch= 40	tth= 14
ch= 41	tth= 6
ch= 42	tth= 21
ch= 43	tth= 25
ch= 44	tth= 23
ch= 45	tth= 17
ch= 46	tth= 24
ch= 47	tth= 11
ch= 48	tth= 20
ch= 49	tth= 21
ch= 50	tth= 14
ch= 51	tth= 16
ch= 52	tth= 14
ch= 53	tth= 21
ch= 54	tth= 17
ch= 55	tth= 30
ch= 56	tth= 12
ch= 57	tth= 17
ch= 58	tth= 21
ch= 59	tth= 24
ch= 60	tth= 15
ch= 61	tth= 19
ch= 62	tth= 22
ch= 63	tth= 14
