ch= 0	tth= 30
ch= 1	tth= 13
ch= 2	tth= 14
ch= 3	tth= 17
ch= 4	tth= 8
ch= 5	tth= 15
ch= 6	tth= 12
ch= 7	tth= 7
ch= 8	tth= 11
ch= 9	tth= 11
ch= 10	tth= 11
ch= 11	tth= 22
ch= 12	tth= 18
ch= 13	tth= 19
ch= 14	tth= 11
ch= 15	tth= 19
ch= 16	tth= 6
ch= 17	tth= 13
ch= 18	tth= 12
ch= 19	tth= 14
ch= 20	tth= 18
ch= 21	tth= 20
ch= 22	tth= 15
ch= 23	tth= 22
ch= 24	tth= 27
ch= 25	tth= 22
ch= 26	tth= 3
ch= 27	tth= 20
ch= 28	tth= 12
ch= 29	tth= 20
ch= 30	tth= 22
ch= 31	tth= 17
ch= 32	tth= 18
ch= 33	tth= 11
ch= 34	tth= 26
ch= 35	tth= 21
ch= 36	tth= 8
ch= 37	tth= 13
ch= 38	tth= 11
ch= 39	tth= 19
ch= 40	tth= 21
ch= 41	tth= 14
ch= 42	tth= 22
ch= 43	tth= 21
ch= 44	tth= 15
ch= 45	tth= 21
ch= 46	tth= 13
ch= 47	tth= 8
ch= 48	tth= 23
ch= 49	tth= 22
ch= 50	tth= 19
ch= 51	tth= 12
ch= 52	tth= 13
ch= 53	tth= 19
ch= 54	tth= 20
ch= 55	tth= 14
ch= 56	tth= 22
ch= 57	tth= 22
ch= 58	tth= 22
ch= 59	tth= 22
ch= 60	tth= 10
ch= 61	tth= 20
ch= 62	tth= 10
ch= 63	tth= 24
