ch= 0	 tth= 13
ch= 1	 tth= 23
ch= 2	 tth= 14
ch= 3	 tth= 12
ch= 4	 tth= 16
ch= 5	 tth= 16
ch= 6	 tth= 13
ch= 7	 tth= 19
ch= 8	 tth= 13
ch= 9	 tth= 9
ch= 10	 tth= 13
ch= 11	 tth= 12
ch= 12	 tth= 10
ch= 13	 tth= 30
ch= 14	 tth= 13
ch= 15	 tth= 16
ch= 16	 tth= 17
ch= 17	 tth= 9
ch= 18	 tth= 18
ch= 19	 tth= 18
ch= 20	 tth= 19
ch= 21	 tth= 14
ch= 22	 tth= 16
ch= 23	 tth= 19
ch= 24	 tth= 19
ch= 25	 tth= 14
ch= 26	 tth= 11
ch= 27	 tth= 10
ch= 28	 tth= 16
ch= 29	 tth= 13
ch= 30	 tth= 17
ch= 31	 tth= 19
ch= 32	 tth= 12
ch= 33	 tth= 22
ch= 34	 tth= 14
ch= 35	 tth= 17
ch= 36	 tth= 18
ch= 37	 tth= 14
ch= 38	 tth= 25
ch= 39	 tth= 18
ch= 40	 tth= 18
ch= 41	 tth= 16
ch= 42	 tth= 21
ch= 43	 tth= 17
ch= 44	 tth= 16
ch= 45	 tth= 12
ch= 46	 tth= 9
ch= 47	 tth= 14
ch= 48	 tth= 13
ch= 49	 tth= 7
ch= 50	 tth= 18
ch= 51	 tth= 18
ch= 52	 tth= 11
ch= 53	 tth= 14
ch= 54	 tth= 17
ch= 55	 tth= 12
ch= 56	 tth= 18
ch= 57	 tth= 22
ch= 58	 tth= 15
ch= 59	 tth= 17
ch= 60	 tth= 18
ch= 61	 tth= 14
ch= 62	 tth= 17
ch= 63	 tth= 7
