ch= 0	 tth= 15
ch= 1	 tth= 18
ch= 2	 tth= 22
ch= 3	 tth= 28
ch= 4	 tth= 11
ch= 5	 tth= 9
ch= 6	 tth= 13
ch= 7	 tth= 19
ch= 8	 tth= 9
ch= 9	 tth= 22
ch= 10	 tth= 13
ch= 11	 tth= 17
ch= 12	 tth= 19
ch= 13	 tth= 13
ch= 14	 tth= 16
ch= 15	 tth= 18
ch= 16	 tth= 9
ch= 17	 tth= 18
ch= 18	 tth= 18
ch= 19	 tth= 13
ch= 20	 tth= 25
ch= 21	 tth= 18
ch= 22	 tth= 18
ch= 23	 tth= 17
ch= 24	 tth= 11
ch= 25	 tth= 15
ch= 26	 tth= 16
ch= 27	 tth= 14
ch= 28	 tth= 16
ch= 29	 tth= 15
ch= 30	 tth= 12
ch= 31	 tth= 17
ch= 32	 tth= 16
ch= 33	 tth= 6
ch= 34	 tth= 13
ch= 35	 tth= 25
ch= 36	 tth= 17
ch= 37	 tth= 11
ch= 38	 tth= 15
ch= 39	 tth= 10
ch= 40	 tth= 23
ch= 41	 tth= 15
ch= 42	 tth= 18
ch= 43	 tth= 19
ch= 44	 tth= 18
ch= 45	 tth= 13
ch= 46	 tth= 19
ch= 47	 tth= 22
ch= 48	 tth= 8
ch= 49	 tth= 11
ch= 50	 tth= 22
ch= 51	 tth= 8
ch= 52	 tth= 17
ch= 53	 tth= 18
ch= 54	 tth= 13
ch= 55	 tth= 21
ch= 56	 tth= 19
ch= 57	 tth= 16
ch= 58	 tth= 8
ch= 59	 tth= 19
ch= 60	 tth= 19
ch= 61	 tth= 18
ch= 62	 tth= 18
ch= 63	 tth= 16
