ch= 0	 tth= 9
ch= 1	 tth= 14
ch= 2	 tth= 21
ch= 3	 tth= 16
ch= 4	 tth= 17
ch= 5	 tth= 18
ch= 6	 tth= 13
ch= 7	 tth= 15
ch= 8	 tth= 12
ch= 9	 tth= 17
ch= 10	 tth= 9
ch= 11	 tth= 12
ch= 12	 tth= 15
ch= 13	 tth= 17
ch= 14	 tth= 15
ch= 15	 tth= 14
ch= 16	 tth= 15
ch= 17	 tth= 16
ch= 18	 tth= 12
ch= 19	 tth= 17
ch= 20	 tth= 20
ch= 21	 tth= 17
ch= 22	 tth= 19
ch= 23	 tth= 17
ch= 24	 tth= 5
ch= 25	 tth= 15
ch= 26	 tth= 13
ch= 27	 tth= 16
ch= 28	 tth= 17
ch= 29	 tth= 8
ch= 30	 tth= 13
ch= 31	 tth= 15
ch= 32	 tth= 6
ch= 33	 tth= 22
ch= 34	 tth= 14
ch= 35	 tth= 16
ch= 36	 tth= 12
ch= 37	 tth= 12
ch= 38	 tth= 12
ch= 39	 tth= 16
ch= 40	 tth= 14
ch= 41	 tth= 15
ch= 42	 tth= 7
ch= 43	 tth= 18
ch= 44	 tth= 16
ch= 45	 tth= 15
ch= 46	 tth= 16
ch= 47	 tth= 24
ch= 48	 tth= 23
ch= 49	 tth= 11
ch= 50	 tth= 12
ch= 51	 tth= 15
ch= 52	 tth= 21
ch= 53	 tth= 8
ch= 54	 tth= 18
ch= 55	 tth= 11
ch= 56	 tth= 11
ch= 57	 tth= 11
ch= 58	 tth= 13
ch= 59	 tth= 13
ch= 60	 tth= 13
ch= 61	 tth= 17
ch= 62	 tth= 8
ch= 63	 tth= 12
