ch= 0	 tth= 10
ch= 1	 tth= 13
ch= 2	 tth= 12
ch= 3	 tth= 8
ch= 4	 tth= 18
ch= 5	 tth= 13
ch= 6	 tth= 13
ch= 7	 tth= 17
ch= 8	 tth= 13
ch= 9	 tth= 17
ch= 10	 tth= 16
ch= 11	 tth= 19
ch= 12	 tth= 12
ch= 13	 tth= 22
ch= 14	 tth= 17
ch= 15	 tth= 12
ch= 16	 tth= 10
ch= 17	 tth= 15
ch= 18	 tth= 13
ch= 19	 tth= 18
ch= 20	 tth= 9
ch= 21	 tth= 9
ch= 22	 tth= 17
ch= 23	 tth= 12
ch= 24	 tth= 15
ch= 25	 tth= 15
ch= 26	 tth= 9
ch= 27	 tth= 13
ch= 28	 tth= 14
ch= 29	 tth= 12
ch= 30	 tth= 14
ch= 31	 tth= 16
ch= 32	 tth= 11
ch= 33	 tth= 12
ch= 34	 tth= 13
ch= 35	 tth= 17
ch= 36	 tth= 15
ch= 37	 tth= 12
ch= 38	 tth= 13
ch= 39	 tth= 12
ch= 40	 tth= 7
ch= 41	 tth= 8
ch= 42	 tth= 19
ch= 43	 tth= 7
ch= 44	 tth= 13
ch= 45	 tth= 16
ch= 46	 tth= 11
ch= 47	 tth= 15
ch= 48	 tth= 16
ch= 49	 tth= 12
ch= 50	 tth= 20
ch= 51	 tth= 25
ch= 52	 tth= 12
ch= 53	 tth= 14
ch= 54	 tth= 15
ch= 55	 tth= 10
ch= 56	 tth= 17
ch= 57	 tth= 21
ch= 58	 tth= 13
ch= 59	 tth= 9
ch= 60	 tth= 11
ch= 61	 tth= 10
ch= 62	 tth= 9
ch= 63	 tth= 16
