ch= 0	tth= 22
ch= 1	tth= 12
ch= 2	tth= 7
ch= 3	tth= 11
ch= 4	tth= 10
ch= 5	tth= 13
ch= 6	tth= 16
ch= 7	tth= 14
ch= 8	tth= 12
ch= 9	tth= 15
ch= 10	tth= 20
ch= 11	tth= 10
ch= 12	tth= 7
ch= 13	tth= 17
ch= 14	tth= 10
ch= 15	tth= 20
ch= 16	tth= 16
ch= 17	tth= 10
ch= 18	tth= 8
ch= 19	tth= 10
ch= 20	tth= 10
ch= 21	tth= 26
ch= 22	tth= 9
ch= 23	tth= 8
ch= 24	tth= 6
ch= 25	tth= 12
ch= 26	tth= 13
ch= 27	tth= 7
ch= 28	tth= 11
ch= 29	tth= 9
ch= 30	tth= 10
ch= 31	tth= 9
ch= 32	tth= 18
ch= 33	tth= 8
ch= 34	tth= 7
ch= 35	tth= 14
ch= 36	tth= 17
ch= 37	tth= 9
ch= 38	tth= 9
ch= 39	tth= 8
ch= 40	tth= 8
ch= 41	tth= 16
ch= 42	tth= 14
ch= 43	tth= 10
ch= 44	tth= 16
ch= 45	tth= 9
ch= 46	tth= 11
ch= 47	tth= 9
ch= 48	tth= 12
ch= 49	tth= 11
ch= 50	tth= 11
ch= 51	tth= 12
ch= 52	tth= 5
ch= 53	tth= 9
ch= 54	tth= 9
ch= 55	tth= 11
ch= 56	tth= 9
ch= 57	tth= 13
ch= 58	tth= 10
ch= 59	tth= 15
ch= 60	tth= 9
ch= 61	tth= 5
ch= 62	tth= 11
ch= 63	tth= 8
