ch= 0	tth= 19
ch= 1	tth= 20
ch= 2	tth= 24
ch= 3	tth= 14
ch= 4	tth= 17
ch= 5	tth= 23
ch= 6	tth= 26
ch= 7	tth= 21
ch= 8	tth= 24
ch= 9	tth= 16
ch= 10	tth= 24
ch= 11	tth= 11
ch= 12	tth= 7
ch= 13	tth= 7
ch= 14	tth= 7
ch= 15	tth= 18
ch= 16	tth= 24
ch= 17	tth= 8
ch= 18	tth= 20
ch= 19	tth= 9
ch= 20	tth= 18
ch= 21	tth= 20
ch= 22	tth= 16
ch= 23	tth= 27
ch= 24	tth= 20
ch= 25	tth= 13
ch= 26	tth= 12
ch= 27	tth= 25
ch= 28	tth= 13
ch= 29	tth= 18
ch= 30	tth= 4
ch= 31	tth= 25
ch= 32	tth= 22
ch= 33	tth= 16
ch= 34	tth= 27
ch= 35	tth= 12
ch= 36	tth= 22
ch= 37	tth= 16
ch= 38	tth= 10
ch= 39	tth= 5
ch= 40	tth= 8
ch= 41	tth= 17
ch= 42	tth= 7
ch= 43	tth= 12
ch= 44	tth= 22
ch= 45	tth= 8
ch= 46	tth= 17
ch= 47	tth= 15
ch= 48	tth= 17
ch= 49	tth= 15
ch= 50	tth= 15
ch= 51	tth= 27
ch= 52	tth= 10
ch= 53	tth= 14
ch= 54	tth= 12
ch= 55	tth= 9
ch= 56	tth= 14
ch= 57	tth= 18
ch= 58	tth= 14
ch= 59	tth= 21
ch= 60	tth= 28
ch= 61	tth= 9
ch= 62	tth= 29
ch= 63	tth= 21
