ch= 0	 tth= 10
ch= 1	 tth= 13
ch= 2	 tth= 10
ch= 3	 tth= 14
ch= 4	 tth= 12
ch= 5	 tth= 9
ch= 6	 tth= 28
ch= 7	 tth= 12
ch= 8	 tth= 11
ch= 9	 tth= 12
ch= 10	 tth= 15
ch= 11	 tth= 8
ch= 12	 tth= 14
ch= 13	 tth= 14
ch= 14	 tth= 12
ch= 15	 tth= 11
ch= 16	 tth= 13
ch= 17	 tth= 14
ch= 18	 tth= 14
ch= 19	 tth= 16
ch= 20	 tth= 14
ch= 21	 tth= 16
ch= 22	 tth= 17
ch= 23	 tth= 7
ch= 24	 tth= 14
ch= 25	 tth= 17
ch= 26	 tth= 15
ch= 27	 tth= 11
ch= 28	 tth= 8
ch= 29	 tth= 12
ch= 30	 tth= 11
ch= 31	 tth= 10
ch= 32	 tth= 12
ch= 33	 tth= 12
ch= 34	 tth= 9
ch= 35	 tth= 11
ch= 36	 tth= 13
ch= 37	 tth= 14
ch= 38	 tth= 9
ch= 39	 tth= 12
ch= 40	 tth= 16
ch= 41	 tth= 14
ch= 42	 tth= 9
ch= 43	 tth= 12
ch= 44	 tth= 17
ch= 45	 tth= 10
ch= 46	 tth= 17
ch= 47	 tth= 12
ch= 48	 tth= 13
ch= 49	 tth= 12
ch= 50	 tth= 9
ch= 51	 tth= 14
ch= 52	 tth= 18
ch= 53	 tth= 14
ch= 54	 tth= 16
ch= 55	 tth= 18
ch= 56	 tth= 13
ch= 57	 tth= 19
ch= 58	 tth= 11
ch= 59	 tth= 10
ch= 60	 tth= 9
ch= 61	 tth= 10
ch= 62	 tth= 14
ch= 63	 tth= 13
