ch= 0	 tth= 9
ch= 1	 tth= 6
ch= 2	 tth= 10
ch= 3	 tth= 5
ch= 4	 tth= 7
ch= 5	 tth= 7
ch= 6	 tth= 11
ch= 7	 tth= 11
ch= 8	 tth= 9
ch= 9	 tth= 6
ch= 10	 tth= 10
ch= 11	 tth= 16
ch= 12	 tth= 7
ch= 13	 tth= 11
ch= 14	 tth= 17
ch= 15	 tth= 9
ch= 16	 tth= 15
ch= 17	 tth= 10
ch= 18	 tth= 11
ch= 19	 tth= 12
ch= 20	 tth= 5
ch= 21	 tth= 11
ch= 22	 tth= 16
ch= 23	 tth= 13
ch= 24	 tth= 3
ch= 25	 tth= 19
ch= 26	 tth= 8
ch= 27	 tth= 7
ch= 28	 tth= 6
ch= 29	 tth= 5
ch= 30	 tth= 29
ch= 31	 tth= 7
ch= 32	 tth= 8
ch= 33	 tth= 9
ch= 34	 tth= 13
ch= 35	 tth= 13
ch= 36	 tth= 10
ch= 37	 tth= 8
ch= 38	 tth= 8
ch= 39	 tth= 9
ch= 40	 tth= 12
ch= 41	 tth= 6
ch= 42	 tth= 5
ch= 43	 tth= 6
ch= 44	 tth= 4
ch= 45	 tth= 5
ch= 46	 tth= 16
ch= 47	 tth= 20
ch= 48	 tth= 5
ch= 49	 tth= 6
ch= 50	 tth= 6
ch= 51	 tth= 15
ch= 52	 tth= 7
ch= 53	 tth= 13
ch= 54	 tth= 9
ch= 55	 tth= 9
ch= 56	 tth= 7
ch= 57	 tth= 7
ch= 58	 tth= 7
ch= 59	 tth= 9
ch= 60	 tth= 15
ch= 61	 tth= 6
ch= 62	 tth= 5
ch= 63	 tth= 9
