ch= 0	 tth= 12
ch= 1	 tth= 14
ch= 2	 tth= 10
ch= 3	 tth= 8
ch= 4	 tth= 12
ch= 5	 tth= 7
ch= 6	 tth= 7
ch= 7	 tth= 14
ch= 8	 tth= 15
ch= 9	 tth= 13
ch= 10	 tth= 12
ch= 11	 tth= 9
ch= 12	 tth= 14
ch= 13	 tth= 7
ch= 14	 tth= 8
ch= 15	 tth= 6
ch= 16	 tth= 11
ch= 17	 tth= 11
ch= 18	 tth= 5
ch= 19	 tth= 8
ch= 20	 tth= 12
ch= 21	 tth= 16
ch= 22	 tth= 9
ch= 23	 tth= 12
ch= 24	 tth= 12
ch= 25	 tth= 5
ch= 26	 tth= 10
ch= 27	 tth= 7
ch= 28	 tth= 9
ch= 29	 tth= 6
ch= 30	 tth= 13
ch= 31	 tth= 6
ch= 32	 tth= 7
ch= 33	 tth= 9
ch= 34	 tth= 16
ch= 35	 tth= 16
ch= 36	 tth= 17
ch= 37	 tth= 10
ch= 38	 tth= 5
ch= 39	 tth= 7
ch= 40	 tth= 10
ch= 41	 tth= 11
ch= 42	 tth= 10
ch= 43	 tth= 10
ch= 44	 tth= 7
ch= 45	 tth= 5
ch= 46	 tth= 8
ch= 47	 tth= 5
ch= 48	 tth= 9
ch= 49	 tth= 10
ch= 50	 tth= 11
ch= 51	 tth= 7
ch= 52	 tth= 12
ch= 53	 tth= 5
ch= 54	 tth= 13
ch= 55	 tth= 4
ch= 56	 tth= 8
ch= 57	 tth= 15
ch= 58	 tth= 10
ch= 59	 tth= 14
ch= 60	 tth= 6
ch= 61	 tth= 10
ch= 62	 tth= 6
ch= 63	 tth= 4
