ch= 0	 tth= 8
ch= 1	 tth= 12
ch= 2	 tth= 4
ch= 3	 tth= 12
ch= 4	 tth= 13
ch= 5	 tth= 8
ch= 6	 tth= 10
ch= 7	 tth= 7
ch= 8	 tth= 8
ch= 9	 tth= 7
ch= 10	 tth= 11
ch= 11	 tth= 15
ch= 12	 tth= 6
ch= 13	 tth= 5
ch= 14	 tth= 5
ch= 15	 tth= 8
ch= 16	 tth= 6
ch= 17	 tth= 11
ch= 18	 tth= 14
ch= 19	 tth= 7
ch= 20	 tth= 14
ch= 21	 tth= 12
ch= 22	 tth= 8
ch= 23	 tth= 13
ch= 24	 tth= 9
ch= 25	 tth= 16
ch= 26	 tth= 8
ch= 27	 tth= 8
ch= 28	 tth= 9
ch= 29	 tth= 9
ch= 30	 tth= 17
ch= 31	 tth= 8
ch= 32	 tth= 14
ch= 33	 tth= 10
ch= 34	 tth= 6
ch= 35	 tth= 13
ch= 36	 tth= 7
ch= 37	 tth= 7
ch= 38	 tth= 10
ch= 39	 tth= 15
ch= 40	 tth= 8
ch= 41	 tth= 11
ch= 42	 tth= 13
ch= 43	 tth= 8
ch= 44	 tth= 6
ch= 45	 tth= 14
ch= 46	 tth= 14
ch= 47	 tth= 8
ch= 48	 tth= 8
ch= 49	 tth= 10
ch= 50	 tth= 9
ch= 51	 tth= 7
ch= 52	 tth= 11
ch= 53	 tth= 12
ch= 54	 tth= 9
ch= 55	 tth= 5
ch= 56	 tth= 10
ch= 57	 tth= 9
ch= 58	 tth= 12
ch= 59	 tth= 10
ch= 60	 tth= 12
ch= 61	 tth= 4
ch= 62	 tth= 12
ch= 63	 tth= 13
