ch= 0	 tth= 8
ch= 1	 tth= 16
ch= 2	 tth= 18
ch= 3	 tth= 13
ch= 4	 tth= 9
ch= 5	 tth= 17
ch= 6	 tth= 7
ch= 7	 tth= 17
ch= 8	 tth= 19
ch= 9	 tth= 17
ch= 10	 tth= 21
ch= 11	 tth= 11
ch= 12	 tth= 16
ch= 13	 tth= 15
ch= 14	 tth= 10
ch= 15	 tth= 21
ch= 16	 tth= 16
ch= 17	 tth= 18
ch= 18	 tth= 15
ch= 19	 tth= 20
ch= 20	 tth= 21
ch= 21	 tth= 17
ch= 22	 tth= 11
ch= 23	 tth= 16
ch= 24	 tth= 15
ch= 25	 tth= 14
ch= 26	 tth= 20
ch= 27	 tth= 10
ch= 28	 tth= 16
ch= 29	 tth= 11
ch= 30	 tth= 5
ch= 31	 tth= 16
ch= 32	 tth= 16
ch= 33	 tth= 8
ch= 34	 tth= 19
ch= 35	 tth= 11
ch= 36	 tth= 8
ch= 37	 tth= 13
ch= 38	 tth= 10
ch= 39	 tth= 18
ch= 40	 tth= 12
ch= 41	 tth= 13
ch= 42	 tth= 3
ch= 43	 tth= 18
ch= 44	 tth= 15
ch= 45	 tth= 14
ch= 46	 tth= 10
ch= 47	 tth= 17
ch= 48	 tth= 12
ch= 49	 tth= 17
ch= 50	 tth= 8
ch= 51	 tth= 11
ch= 52	 tth= 22
ch= 53	 tth= 17
ch= 54	 tth= 17
ch= 55	 tth= 20
ch= 56	 tth= 9
ch= 57	 tth= 17
ch= 58	 tth= 20
ch= 59	 tth= 16
ch= 60	 tth= 15
ch= 61	 tth= 6
ch= 62	 tth= 8
ch= 63	 tth= 12
