ch= 0	 tth= 15
ch= 1	 tth= 17
ch= 2	 tth= 14
ch= 3	 tth= 18
ch= 4	 tth= 13
ch= 5	 tth= 22
ch= 6	 tth= 17
ch= 7	 tth= 16
ch= 8	 tth= 20
ch= 9	 tth= 21
ch= 10	 tth= 10
ch= 11	 tth= 19
ch= 12	 tth= 14
ch= 13	 tth= 22
ch= 14	 tth= 11
ch= 15	 tth= 11
ch= 16	 tth= 16
ch= 17	 tth= 14
ch= 18	 tth= 14
ch= 19	 tth= 15
ch= 20	 tth= 5
ch= 21	 tth= 18
ch= 22	 tth= 17
ch= 23	 tth= 9
ch= 24	 tth= 14
ch= 25	 tth= 11
ch= 26	 tth= 18
ch= 27	 tth= 4
ch= 28	 tth= 15
ch= 29	 tth= 16
ch= 30	 tth= 15
ch= 31	 tth= 11
ch= 32	 tth= 25
ch= 33	 tth= 17
ch= 34	 tth= 13
ch= 35	 tth= 17
ch= 36	 tth= 18
ch= 37	 tth= 16
ch= 38	 tth= 18
ch= 39	 tth= 19
ch= 40	 tth= 14
ch= 41	 tth= 18
ch= 42	 tth= 16
ch= 43	 tth= 15
ch= 44	 tth= 18
ch= 45	 tth= 27
ch= 46	 tth= 18
ch= 47	 tth= 14
ch= 48	 tth= 8
ch= 49	 tth= 19
ch= 50	 tth= 12
ch= 51	 tth= 15
ch= 52	 tth= 18
ch= 53	 tth= 20
ch= 54	 tth= 13
ch= 55	 tth= 8
ch= 56	 tth= 13
ch= 57	 tth= 17
ch= 58	 tth= 17
ch= 59	 tth= 11
ch= 60	 tth= 22
ch= 61	 tth= 16
ch= 62	 tth= 10
ch= 63	 tth= 16
