ch= 0	 tth= 15
ch= 1	 tth= 13
ch= 2	 tth= 14
ch= 3	 tth= 11
ch= 4	 tth= 16
ch= 5	 tth= 14
ch= 6	 tth= 11
ch= 7	 tth= 8
ch= 8	 tth= 18
ch= 9	 tth= 10
ch= 10	 tth= 11
ch= 11	 tth= 17
ch= 12	 tth= 12
ch= 13	 tth= 16
ch= 14	 tth= 20
ch= 15	 tth= 11
ch= 16	 tth= 14
ch= 17	 tth= 14
ch= 18	 tth= 15
ch= 19	 tth= 16
ch= 20	 tth= 16
ch= 21	 tth= 12
ch= 22	 tth= 18
ch= 23	 tth= 12
ch= 24	 tth= 7
ch= 25	 tth= 16
ch= 26	 tth= 6
ch= 27	 tth= 17
ch= 28	 tth= 18
ch= 29	 tth= 15
ch= 30	 tth= 12
ch= 31	 tth= 9
ch= 32	 tth= 12
ch= 33	 tth= 12
ch= 34	 tth= 19
ch= 35	 tth= 15
ch= 36	 tth= 12
ch= 37	 tth= 20
ch= 38	 tth= 14
ch= 39	 tth= 17
ch= 40	 tth= 14
ch= 41	 tth= 16
ch= 42	 tth= 16
ch= 43	 tth= 17
ch= 44	 tth= 11
ch= 45	 tth= 15
ch= 46	 tth= 18
ch= 47	 tth= 10
ch= 48	 tth= 14
ch= 49	 tth= 19
ch= 50	 tth= 15
ch= 51	 tth= 18
ch= 52	 tth= 16
ch= 53	 tth= 18
ch= 54	 tth= 19
ch= 55	 tth= 19
ch= 56	 tth= 19
ch= 57	 tth= 8
ch= 58	 tth= 24
ch= 59	 tth= 17
ch= 60	 tth= 31
ch= 61	 tth= 28
ch= 62	 tth= 10
ch= 63	 tth= 17
