ch= 0	 tth= 15
ch= 1	 tth= 9
ch= 2	 tth= 15
ch= 3	 tth= 13
ch= 4	 tth= 10
ch= 5	 tth= 6
ch= 6	 tth= 16
ch= 7	 tth= 11
ch= 8	 tth= 6
ch= 9	 tth= 12
ch= 10	 tth= 5
ch= 11	 tth= 15
ch= 12	 tth= 8
ch= 13	 tth= 15
ch= 14	 tth= 17
ch= 15	 tth= 6
ch= 16	 tth= 8
ch= 17	 tth= 15
ch= 18	 tth= 9
ch= 19	 tth= 16
ch= 20	 tth= 11
ch= 21	 tth= 18
ch= 22	 tth= 18
ch= 23	 tth= 19
ch= 24	 tth= 12
ch= 25	 tth= 13
ch= 26	 tth= 16
ch= 27	 tth= 18
ch= 28	 tth= 16
ch= 29	 tth= 21
ch= 30	 tth= 9
ch= 31	 tth= 6
ch= 32	 tth= 5
ch= 33	 tth= 7
ch= 34	 tth= 10
ch= 35	 tth= 11
ch= 36	 tth= 6
ch= 37	 tth= 7
ch= 38	 tth= 6
ch= 39	 tth= 13
ch= 40	 tth= 18
ch= 41	 tth= 10
ch= 42	 tth= 16
ch= 43	 tth= 15
ch= 44	 tth= 11
ch= 45	 tth= 7
ch= 46	 tth= 8
ch= 47	 tth= 12
ch= 48	 tth= 13
ch= 49	 tth= 15
ch= 50	 tth= 12
ch= 51	 tth= 11
ch= 52	 tth= 3
ch= 53	 tth= 10
ch= 54	 tth= 15
ch= 55	 tth= 9
ch= 56	 tth= 8
ch= 57	 tth= 18
ch= 58	 tth= 13
ch= 59	 tth= 6
ch= 60	 tth= 7
ch= 61	 tth= 16
ch= 62	 tth= 13
ch= 63	 tth= 6
