ch= 0	 tth= 9
ch= 1	 tth= 15
ch= 2	 tth= 8
ch= 3	 tth= 7
ch= 4	 tth= 23
ch= 5	 tth= 5
ch= 6	 tth= 8
ch= 7	 tth= 7
ch= 8	 tth= 11
ch= 9	 tth= 12
ch= 10	 tth= 8
ch= 11	 tth= 8
ch= 12	 tth= 11
ch= 13	 tth= 14
ch= 14	 tth= 13
ch= 15	 tth= 9
ch= 16	 tth= 8
ch= 17	 tth= 7
ch= 18	 tth= 13
ch= 19	 tth= 14
ch= 20	 tth= 25
ch= 21	 tth= 17
ch= 22	 tth= 14
ch= 23	 tth= 13
ch= 24	 tth= 10
ch= 25	 tth= 7
ch= 26	 tth= 22
ch= 27	 tth= 13
ch= 28	 tth= 5
ch= 29	 tth= 10
ch= 30	 tth= 5
ch= 31	 tth= 8
ch= 32	 tth= 12
ch= 33	 tth= 7
ch= 34	 tth= 11
ch= 35	 tth= 11
ch= 36	 tth= 11
ch= 37	 tth= 11
ch= 38	 tth= 5
ch= 39	 tth= 5
ch= 40	 tth= 10
ch= 41	 tth= 10
ch= 42	 tth= 15
ch= 43	 tth= 9
ch= 44	 tth= 11
ch= 45	 tth= 9
ch= 46	 tth= 10
ch= 47	 tth= 8
ch= 48	 tth= 11
ch= 49	 tth= 7
ch= 50	 tth= 6
ch= 51	 tth= 12
ch= 52	 tth= 11
ch= 53	 tth= 7
ch= 54	 tth= 13
ch= 55	 tth= 7
ch= 56	 tth= 8
ch= 57	 tth= 12
ch= 58	 tth= 8
ch= 59	 tth= 5
ch= 60	 tth= 14
ch= 61	 tth= 6
ch= 62	 tth= 4
ch= 63	 tth= 6
