ch= 0	 tth= 9
ch= 1	 tth= 9
ch= 2	 tth= 8
ch= 3	 tth= 13
ch= 4	 tth= 18
ch= 5	 tth= 7
ch= 6	 tth= 6
ch= 7	 tth= 12
ch= 8	 tth= 14
ch= 9	 tth= 9
ch= 10	 tth= 15
ch= 11	 tth= 16
ch= 12	 tth= 9
ch= 13	 tth= 10
ch= 14	 tth= 8
ch= 15	 tth= 14
ch= 16	 tth= 12
ch= 17	 tth= 19
ch= 18	 tth= 19
ch= 19	 tth= 16
ch= 20	 tth= 8
ch= 21	 tth= 11
ch= 22	 tth= 11
ch= 23	 tth= 17
ch= 24	 tth= 20
ch= 25	 tth= 9
ch= 26	 tth= 12
ch= 27	 tth= 8
ch= 28	 tth= 14
ch= 29	 tth= 15
ch= 30	 tth= 12
ch= 31	 tth= 16
ch= 32	 tth= 21
ch= 33	 tth= 8
ch= 34	 tth= 6
ch= 35	 tth= 14
ch= 36	 tth= 7
ch= 37	 tth= 12
ch= 38	 tth= 16
ch= 39	 tth= 12
ch= 40	 tth= 18
ch= 41	 tth= 11
ch= 42	 tth= 16
ch= 43	 tth= 8
ch= 44	 tth= 7
ch= 45	 tth= 13
ch= 46	 tth= 4
ch= 47	 tth= 12
ch= 48	 tth= 11
ch= 49	 tth= 4
ch= 50	 tth= 18
ch= 51	 tth= 9
ch= 52	 tth= 20
ch= 53	 tth= 16
ch= 54	 tth= 17
ch= 55	 tth= 17
ch= 56	 tth= 15
ch= 57	 tth= 13
ch= 58	 tth= 14
ch= 59	 tth= 6
ch= 60	 tth= 11
ch= 61	 tth= 4
ch= 62	 tth= 11
ch= 63	 tth= 16
