ch= 0	 tth= 5
ch= 1	 tth= 10
ch= 2	 tth= 10
ch= 3	 tth= 13
ch= 4	 tth= 17
ch= 5	 tth= 5
ch= 6	 tth= 18
ch= 7	 tth= 11
ch= 8	 tth= 14
ch= 9	 tth= 8
ch= 10	 tth= 7
ch= 11	 tth= 12
ch= 12	 tth= 7
ch= 13	 tth= 15
ch= 14	 tth= 11
ch= 15	 tth= 11
ch= 16	 tth= 15
ch= 17	 tth= 10
ch= 18	 tth= 8
ch= 19	 tth= 13
ch= 20	 tth= 8
ch= 21	 tth= 6
ch= 22	 tth= 8
ch= 23	 tth= 12
ch= 24	 tth= 7
ch= 25	 tth= 10
ch= 26	 tth= 8
ch= 27	 tth= 21
ch= 28	 tth= 12
ch= 29	 tth= 18
ch= 30	 tth= 8
ch= 31	 tth= 10
ch= 32	 tth= 14
ch= 33	 tth= 13
ch= 34	 tth= 18
ch= 35	 tth= 11
ch= 36	 tth= 7
ch= 37	 tth= 8
ch= 38	 tth= 14
ch= 39	 tth= 15
ch= 40	 tth= 7
ch= 41	 tth= 19
ch= 42	 tth= 11
ch= 43	 tth= 8
ch= 44	 tth= 17
ch= 45	 tth= 6
ch= 46	 tth= 13
ch= 47	 tth= 8
ch= 48	 tth= 15
ch= 49	 tth= 10
ch= 50	 tth= 10
ch= 51	 tth= 17
ch= 52	 tth= 10
ch= 53	 tth= 7
ch= 54	 tth= 20
ch= 55	 tth= 21
ch= 56	 tth= 15
ch= 57	 tth= 10
ch= 58	 tth= 17
ch= 59	 tth= 4
ch= 60	 tth= 7
ch= 61	 tth= 13
ch= 62	 tth= 10
ch= 63	 tth= 14
