ch= 0	 tth= 5
ch= 1	 tth= 6
ch= 2	 tth= 7
ch= 3	 tth= 12
ch= 4	 tth= 16
ch= 5	 tth= 9
ch= 6	 tth= 6
ch= 7	 tth= 11
ch= 8	 tth= 16
ch= 9	 tth= 9
ch= 10	 tth= 5
ch= 11	 tth= 9
ch= 12	 tth= 18
ch= 13	 tth= 10
ch= 14	 tth= 12
ch= 15	 tth= 14
ch= 16	 tth= 13
ch= 17	 tth= 6
ch= 18	 tth= 7
ch= 19	 tth= 12
ch= 20	 tth= 12
ch= 21	 tth= 14
ch= 22	 tth= 7
ch= 23	 tth= 16
ch= 24	 tth= 10
ch= 25	 tth= 8
ch= 26	 tth= 11
ch= 27	 tth= 12
ch= 28	 tth= 10
ch= 29	 tth= 9
ch= 30	 tth= 6
ch= 31	 tth= 14
ch= 32	 tth= 8
ch= 33	 tth= 9
ch= 34	 tth= 15
ch= 35	 tth= 5
ch= 36	 tth= 10
ch= 37	 tth= 6
ch= 38	 tth= 8
ch= 39	 tth= 14
ch= 40	 tth= 8
ch= 41	 tth= 8
ch= 42	 tth= 12
ch= 43	 tth= 12
ch= 44	 tth= 24
ch= 45	 tth= 11
ch= 46	 tth= 6
ch= 47	 tth= 10
ch= 48	 tth= 11
ch= 49	 tth= 10
ch= 50	 tth= 11
ch= 51	 tth= 13
ch= 52	 tth= 10
ch= 53	 tth= 12
ch= 54	 tth= 8
ch= 55	 tth= 16
ch= 56	 tth= 6
ch= 57	 tth= 10
ch= 58	 tth= 9
ch= 59	 tth= 14
ch= 60	 tth= 7
ch= 61	 tth= 7
ch= 62	 tth= 18
ch= 63	 tth= 8
