ch= 0	 tth= 13
ch= 1	 tth= 11
ch= 2	 tth= 7
ch= 3	 tth= 6
ch= 4	 tth= 11
ch= 5	 tth= 7
ch= 6	 tth= 5
ch= 7	 tth= 6
ch= 8	 tth= 11
ch= 9	 tth= 11
ch= 10	 tth= 8
ch= 11	 tth= 8
ch= 12	 tth= 17
ch= 13	 tth= 9
ch= 14	 tth= 5
ch= 15	 tth= 13
ch= 16	 tth= 5
ch= 17	 tth= 6
ch= 18	 tth= 7
ch= 19	 tth= 8
ch= 20	 tth= 5
ch= 21	 tth= 5
ch= 22	 tth= 12
ch= 23	 tth= 11
ch= 24	 tth= 11
ch= 25	 tth= 8
ch= 26	 tth= 5
ch= 27	 tth= 12
ch= 28	 tth= 11
ch= 29	 tth= 9
ch= 30	 tth= 12
ch= 31	 tth= 12
ch= 32	 tth= 7
ch= 33	 tth= 7
ch= 34	 tth= 12
ch= 35	 tth= 7
ch= 36	 tth= 4
ch= 37	 tth= 14
ch= 38	 tth= 6
ch= 39	 tth= 6
ch= 40	 tth= 10
ch= 41	 tth= 12
ch= 42	 tth= 12
ch= 43	 tth= 7
ch= 44	 tth= 17
ch= 45	 tth= 6
ch= 46	 tth= 17
ch= 47	 tth= 7
ch= 48	 tth= 6
ch= 49	 tth= 7
ch= 50	 tth= 12
ch= 51	 tth= 8
ch= 52	 tth= 6
ch= 53	 tth= 8
ch= 54	 tth= 13
ch= 55	 tth= 12
ch= 56	 tth= 7
ch= 57	 tth= 4
ch= 58	 tth= 7
ch= 59	 tth= 6
ch= 60	 tth= 7
ch= 61	 tth= 9
ch= 62	 tth= 12
ch= 63	 tth= 9
