ch= 0	 tth= 8
ch= 1	 tth= 8
ch= 2	 tth= 11
ch= 3	 tth= 12
ch= 4	 tth= 12
ch= 5	 tth= 7
ch= 6	 tth= 9
ch= 7	 tth= 8
ch= 8	 tth= 13
ch= 9	 tth= 16
ch= 10	 tth= 12
ch= 11	 tth= 13
ch= 12	 tth= 12
ch= 13	 tth= 9
ch= 14	 tth= 14
ch= 15	 tth= 15
ch= 16	 tth= 12
ch= 17	 tth= 19
ch= 18	 tth= 9
ch= 19	 tth= 10
ch= 20	 tth= 9
ch= 21	 tth= 17
ch= 22	 tth= 15
ch= 23	 tth= 15
ch= 24	 tth= 11
ch= 25	 tth= 16
ch= 26	 tth= 9
ch= 27	 tth= 7
ch= 28	 tth= 18
ch= 29	 tth= 18
ch= 30	 tth= 7
ch= 31	 tth= 5
ch= 32	 tth= 8
ch= 33	 tth= 12
ch= 34	 tth= 10
ch= 35	 tth= 9
ch= 36	 tth= 10
ch= 37	 tth= 7
ch= 38	 tth= 11
ch= 39	 tth= 12
ch= 40	 tth= 10
ch= 41	 tth= 7
ch= 42	 tth= 10
ch= 43	 tth= 8
ch= 44	 tth= 9
ch= 45	 tth= 7
ch= 46	 tth= 7
ch= 47	 tth= 9
ch= 48	 tth= 9
ch= 49	 tth= 11
ch= 50	 tth= 15
ch= 51	 tth= 19
ch= 52	 tth= 15
ch= 53	 tth= 9
ch= 54	 tth= 11
ch= 55	 tth= 11
ch= 56	 tth= 9
ch= 57	 tth= 7
ch= 58	 tth= 11
ch= 59	 tth= 13
ch= 60	 tth= 20
ch= 61	 tth= 11
ch= 62	 tth= 18
ch= 63	 tth= 18
