ch= 0	 tth= 15
ch= 1	 tth= 23
ch= 2	 tth= 8
ch= 3	 tth= 18
ch= 4	 tth= 12
ch= 5	 tth= 11
ch= 6	 tth= 10
ch= 7	 tth= 18
ch= 8	 tth= 16
ch= 9	 tth= 22
ch= 10	 tth= 23
ch= 11	 tth= 13
ch= 12	 tth= 12
ch= 13	 tth= 18
ch= 14	 tth= 16
ch= 15	 tth= 16
ch= 16	 tth= 4
ch= 17	 tth= 15
ch= 18	 tth= 19
ch= 19	 tth= 11
ch= 20	 tth= 19
ch= 21	 tth= 13
ch= 22	 tth= 15
ch= 23	 tth= 14
ch= 24	 tth= 17
ch= 25	 tth= 14
ch= 26	 tth= 17
ch= 27	 tth= 15
ch= 28	 tth= 17
ch= 29	 tth= 14
ch= 30	 tth= 17
ch= 31	 tth= 10
ch= 32	 tth= 11
ch= 33	 tth= 19
ch= 34	 tth= 11
ch= 35	 tth= 11
ch= 36	 tth= 20
ch= 37	 tth= 28
ch= 38	 tth= 16
ch= 39	 tth= 13
ch= 40	 tth= 14
ch= 41	 tth= 11
ch= 42	 tth= 12
ch= 43	 tth= 11
ch= 44	 tth= 17
ch= 45	 tth= 20
ch= 46	 tth= 10
ch= 47	 tth= 16
ch= 48	 tth= 13
ch= 49	 tth= 17
ch= 50	 tth= 15
ch= 51	 tth= 14
ch= 52	 tth= 13
ch= 53	 tth= 9
ch= 54	 tth= 18
ch= 55	 tth= 10
ch= 56	 tth= 10
ch= 57	 tth= 18
ch= 58	 tth= 15
ch= 59	 tth= 16
ch= 60	 tth= 18
ch= 61	 tth= 11
ch= 62	 tth= 17
ch= 63	 tth= 17
