ch= 0	 tth= 16
ch= 1	 tth= 16
ch= 2	 tth= 16
ch= 3	 tth= 15
ch= 4	 tth= 12
ch= 5	 tth= 14
ch= 6	 tth= 16
ch= 7	 tth= 12
ch= 8	 tth= 17
ch= 9	 tth= 15
ch= 10	 tth= 11
ch= 11	 tth= 10
ch= 12	 tth= 11
ch= 13	 tth= 12
ch= 14	 tth= 22
ch= 15	 tth= 16
ch= 16	 tth= 17
ch= 17	 tth= 10
ch= 18	 tth= 22
ch= 19	 tth= 16
ch= 20	 tth= 19
ch= 21	 tth= 16
ch= 22	 tth= 15
ch= 23	 tth= 14
ch= 24	 tth= 16
ch= 25	 tth= 15
ch= 26	 tth= 16
ch= 27	 tth= 16
ch= 28	 tth= 18
ch= 29	 tth= 13
ch= 30	 tth= 12
ch= 31	 tth= 12
ch= 32	 tth= 16
ch= 33	 tth= 15
ch= 34	 tth= 18
ch= 35	 tth= 13
ch= 36	 tth= 17
ch= 37	 tth= 19
ch= 38	 tth= 13
ch= 39	 tth= 7
ch= 40	 tth= 21
ch= 41	 tth= 18
ch= 42	 tth= 16
ch= 43	 tth= 20
ch= 44	 tth= 19
ch= 45	 tth= 11
ch= 46	 tth= 16
ch= 47	 tth= 17
ch= 48	 tth= 16
ch= 49	 tth= 16
ch= 50	 tth= 17
ch= 51	 tth= 20
ch= 52	 tth= 22
ch= 53	 tth= 16
ch= 54	 tth= 16
ch= 55	 tth= 11
ch= 56	 tth= 16
ch= 57	 tth= 18
ch= 58	 tth= 14
ch= 59	 tth= 20
ch= 60	 tth= 16
ch= 61	 tth= 19
ch= 62	 tth= 13
ch= 63	 tth= 18
